着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id
1,7,13,ウインイメル,牡3,57.0,黛弘人,1:57.7,,46.9,7.0,484(+4),[東] 深山雅史,202406010203
2,1,1,ダイクロアイト,牡3,57.0,ピーヒュ,1:57.9,1.1/2,8.8,3.0,462(+6),[東] 萩原清,202406010203
3,6,11,ニシノコルベット,牡3,57.0,武藤雅,1:58.4,3,16.1,4.0,472(+8),[東] 水野貴広,202406010203
4,2,3,ミレニアムヒロイン,牝3,54.0,横山琉人,1:58.6,1,87.5,10.0,440(-2),[東] 池上昌和,202406010203
5,6,12,カシノカンピオーネ,牡3,57.0,岩部純二,1:58.8,1,66.6,8.0,488(+10),[東] 天間昭一,202406010203
6,5,9,ダノンマカルー,牡3,57.0,横山武史,1:58.9,1/2,1.2,1.0,542(0),[東] 田中博康,202406010203
7,4,8,エイブラムス,牡3,56.0,佐々木大,1:58.9,ハナ,8.0,2.0,458(+4),[東] 鈴木慎太,202406010203
8,1,2,ミーハ,牡3,56.0,原優介,1:59.0,クビ,16.9,5.0,490(+2),[東] 小笠倫弘,202406010203
9,3,5,マシュー,牡3,54.0,佐藤翔馬,1:59.1,1/2,156.4,12.0,468(+14),[東] 小桧山悟,202406010203
10,7,14,ジョリーメモリー,牡3,57.0,柴田善臣,1:59.3,1.1/4,31.6,6.0,446(+18),[東] 嘉藤貴行,202406010203
11,5,10,サウナストーン,牡3,57.0,丹内祐次,1:59.4,3/4,84.2,9.0,462(-6),[東] 西田雄一,202406010203
12,8,16,グレック,牡3,57.0,内田博幸,1:59.7,1.3/4,96.8,11.0,502(+10),[東] 田村康仁,202406010203
13,2,4,ニシノエール,セ3,57.0,北村宏司,2:00.3,3.1/2,240.9,13.0,450(-2),[東] 上原博之,202406010203
14,3,6,クルシナ,牡3,53.0,小林美駒,2:01.8,9,280.8,14.0,498(+12),[東] 和田雄二,202406010203
15,8,15,マメタクン,セ3,57.0,江田照男,2:03.6,大,303.8,15.0,488(+6),[東] 萱野浩二,202406010203
取,4,7,マツシマ,牡3,56.0,秋山稔樹,,,---,,計不,[東] 尾形和幸,202406010203
1,7,11,ビップランバン,牡6,60.0,中村将之,3:12.9,,9.6,4.0,482(+8),[西] 清水久詞,202406010204
2,8,14,メルテミア,牡6,60.0,小坂忠士,3:12.9,ハナ,33.8,7.0,472(+6),[西] 小栗実,202406010204
3,3,3,ワールドスケール,牡7,60.0,小牧加矢,3:12.9,ハナ,1.8,1.0,488(0),[西] 村山明,202406010204
4,8,13,アースブレイブ,セ7,60.0,江田勇亮,3:13.3,2.1/2,20.1,6.0,470(+2),[東] 宗像義忠,202406010204
5,5,7,ボイラーハウス,牡6,60.0,上野翔,3:13.8,3,3.9,2.0,510(+12),[東] 竹内正洋,202406010204
6,1,1,ルレーヴドゥリリ,牝7,58.0,森一馬,3:13.9,クビ,13.3,5.0,518(-2),[東] 田中剛,202406010204
7,3,4,ブリエヴェール,牡6,60.0,石神深一,3:14.5,3.1/2,8.2,3.0,458(+8),[東] 小笠倫弘,202406010204
8,6,10,アメリカンピース,セ6,57.0,水沼元輝,3:14.9,2.1/2,85.8,9.0,454(-8),[西] 音無秀孝,202406010204
9,7,12,サンマルグレイト,牡4,59.0,大江原圭,3:14.9,ハナ,131.2,12.0,452(+14),[東] 佐藤吉勝,202406010204
10,5,8,ソルトキャピタル,牡7,60.0,小野寺祐,3:15.2,2,101.5,11.0,530(-2),[西] 木原一良,202406010204
11,4,6,メノーグラジオラス,牡5,60.0,草野太郎,3:16.1,5,63.1,8.0,490(+14),[東] 戸田博文,202406010204
12,2,2,タリスアマゾン,牡4,59.0,五十嵐雄,3:19.0,大,93.2,10.0,456(+4),[東] 中舘英二,202406010204
13,6,9,ワンダーウォール,牡6,60.0,伴啓太,3:20.7,10,338.1,14.0,486(+4),[東] 鈴木慎太,202406010204
14,4,5,ティアップエックス,セ4,59.0,蓑島靖典,3:22.7,大,233.4,13.0,524(+10),[東] 奥平雅士,202406010204
1,5,10,シャインズオンユー,牡3,57.0,横山武史,1:33.4,,3.5,1.0,452(+4),[東] 青木孝文,202406010205
2,2,3,テートモダン,セ3,55.0,小林凌大,1:33.4,1/2,10.7,5.0,450(+6),[東] 尾形和幸,202406010205
3,8,15,ヴィヴァクラウン,牡3,57.0,大野拓弥,1:33.6,1.1/4,28.0,9.0,472(+6),[東] 杉浦宏昭,202406010205
4,6,12,ロクシアス,牡3,57.0,ルメール,1:33.8,1,3.6,2.0,490(+10),[東] 国枝栄,202406010205
5,5,9,ヒャクモノガタリ,牝3,55.0,吉田豊,1:33.8,クビ,25.9,8.0,430(+6),[東] 尾関知人,202406010205
6,6,11,ローンウルフ,牡3,57.0,木幡巧也,1:33.9,1/2,5.4,4.0,476(-4),[東] 武市康男,202406010205
7,8,16,ミサトベレーザ,牝3,55.0,武士沢友,1:34.1,1.1/4,19.8,6.0,422(-4),[東] 勢司和浩,202406010205
8,1,2,ニシノプレゼント,牝3,55.0,田辺裕信,1:34.2,クビ,5.1,3.0,444(0),[東] 村田一誠,202406010205
9,3,6,エフォートレス,牡3,57.0,宮崎北斗,1:34.2,ハナ,20.3,7.0,476(-6),[東] 嘉藤貴行,202406010205
10,4,7,チカチャン,牝3,55.0,北村宏司,1:34.2,アタマ,38.3,10.0,428(-2),[東] 石毛善彦,202406010205
11,1,1,ミヤビハイジア,牝3,55.0,木幡育也,1:34.5,1.1/2,533.9,14.0,458(-14),[東] 高橋文雅,202406010205
12,7,14,トーセンシナモン,牝3,53.0,藤田菜七,1:35.0,3,219.2,12.0,488(+2),[東] 小桧山悟,202406010205
13,3,5,ミランダアスール,牝3,55.0,武藤雅,1:35.1,1/2,377.0,13.0,396(-10),[東] 水野貴広,202406010205
14,7,13,アオイラリュヌ,牝3,55.0,丸山元気,1:35.1,クビ,725.7,15.0,430(0),[東] 和田雄二,202406010205
15,4,8,ハルテロス,牝3,52.0,石田拓郎,1:35.1,アタマ,748.5,16.0,430(+2),[東] 奥村武,202406010205
16,2,4,メーオーテソーロ,牝3,54.0,原優介,1:36.2,7,110.2,11.0,396(+6),[東] 奥平雅士,202406010205
1,2,3,スティンガーグラス,牡3,57.0,ルメール,2:02.1,,2.4,1.0,464(0),[東] 木村哲也,202406010206
2,2,4,アンゴラブラック,牝3,55.0,ピーヒュ,2:02.2,3/4,2.8,2.0,474(0),[東] 尾関知人,202406010206
3,7,14,ヘヴンズクライ,牡3,57.0,キング,2:02.9,4,9.2,3.0,422(0),[東] 大竹正博,202406010206
4,1,1,バランスダンサー,牝3,55.0,田辺裕信,2:02.9,クビ,10.2,4.0,476(0),[東] 久保田貴,202406010206
5,8,15,フォルテフィオーレ,牡3,57.0,石橋脩,2:02.9,クビ,11.4,5.0,442(0),[東] 上原佑紀,202406010206
6,5,10,デルマスカンダ,牡3,57.0,大野拓弥,2:03.3,2.1/2,292.9,16.0,448(0),[東] 和田正一,202406010206
7,8,17,スズノアムール,牝3,53.0,藤田菜七,2:03.3,ハナ,88.6,11.0,444(0),[東] 深山雅史,202406010206
8,5,9,コスモハーディング,牡3,57.0,柴田大知,2:03.7,2,93.8,12.0,406(0),[東] 和田勇介,202406010206
9,4,8,オーサムピクチャ,牝3,55.0,内田博幸,2:03.7,クビ,150.8,13.0,410(0),[東] 古賀慎明,202406010206
10,8,16,ルージュアイトーン,牝3,55.0,北村宏司,2:03.9,1.1/4,68.2,10.0,436(0),[東] 宮田敬介,202406010206
11,1,2,エコロアース,牡3,57.0,斎藤新,2:04.0,3/4,30.9,7.0,464(0),[東] 斎藤誠,202406010206
12,3,6,サルヴェージワーク,牡3,57.0,横山武史,2:04.1,1/2,15.7,6.0,514(0),[東] 田村康仁,202406010206
13,6,12,ノリサンブラック,牡3,57.0,横山和生,2:04.5,2.1/2,42.8,8.0,440(0),[東] 上原佑紀,202406010206
14,7,13,リアルセンター,牝3,55.0,木幡巧也,2:04.6,クビ,151.2,14.0,492(0),[東] 牧光二,202406010206
15,6,11,サツキイルージョン,牝3,53.0,小林凌大,2:04.7,3/4,411.2,17.0,434(0),[東] 土田稔,202406010206
16,4,7,イングリッドローズ,牝3,55.0,杉原誠人,2:06.2,9,154.1,15.0,402(0),[東] 加藤士津,202406010206
17,3,5,グランコネクシオン,牝3,55.0,西村淳也,2:07.1,5,53.6,9.0,420(0),[東] 畠山吉宏,202406010206
1,6,9,アラレタバシル,牡3,57.0,野中悠太,1:54.8,,6.9,5.0,446(+4),[東] 根本康広,202406010207
2,5,6,ネオシルバー,牡3,57.0,田辺裕信,1:55.0,1.1/2,6.9,4.0,500(0),[東] 小西一男,202406010207
3,1,1,ピュアキアン,牡3,57.0,吉田豊,1:55.1,3/4,19.7,7.0,514(+6),[東] 竹内正洋,202406010207
4,7,10,ロードブレイズ,牡3,57.0,三浦皇成,1:55.3,3/4,5.2,3.0,488(+4),[東] 稲垣幸雄,202406010207
5,5,7,モンサンアクシア,牡3,57.0,木幡巧也,1:55.6,1.3/4,3.5,1.0,482(0),[東] 牧光二,202406010207
6,2,2,バナマンテソーロ,牡3,56.0,原優介,1:55.7,1/2,43.6,11.0,498(0),[東] 加藤士津,202406010207
7,6,8,ブレードサクセス,牡3,57.0,丹内祐次,1:56.0,2,56.8,12.0,492(+8),[東] 岩戸孝樹,202406010207
8,3,3,ダイヤモンドナイツ,牡3,57.0,菅原明良,1:56.0,ハナ,28.7,9.0,462(-8),[東] 田島俊明,202406010207
9,4,4,サンダーアラート,牡3,57.0,内田博幸,1:56.0,アタマ,19.2,6.0,474(+2),[東] 田中博康,202406010207
10,8,13,タイセイアディクト,牡3,56.0,佐々木大,1:56.2,3/4,39.4,10.0,486(+4),[東] 池上昌和,202406010207
11,7,11,コスモジンバック,牡3,57.0,石川裕紀,1:57.4,7,59.4,13.0,472(+8),[東] 相沢郁,202406010207
12,4,5,メッエフアパラ,牡3,54.0,小林勝太,1:58.1,4,24.5,8.0,460(-6),[東] 辻哲英,202406010207
13,8,12,ボーイハンター,牝3,55.0,ルメール,2:00.6,大,4.2,2.0,456(-2),[東] 西田雄一,202406010207
1,4,8,マンノステータス,牡4,57.0,石川裕紀,1:54.4,,3.6,1.0,524(+6),[東] 小野次郎,202406010208
2,8,15,マウンテンエース,牡4,56.0,佐々木大,1:55.0,3.1/2,12.9,6.0,502(+2),[東] 中野栄治,202406010208
3,1,1,トーセンクライスト,牡5,58.0,丸田恭介,1:55.1,クビ,8.5,4.0,524(0),[東] 宗像義忠,202406010208
4,5,10,ラフシー,牡5,58.0,ピーヒュ,1:55.2,1/2,56.4,12.0,542(+10),[東] 大竹正博,202406010208
5,2,3,カムランベイ,牡4,57.0,石橋脩,1:55.4,1.1/2,11.5,5.0,514(+10),[東] 岩戸孝樹,202406010208
6,8,16,キープブライトン,牡4,57.0,田辺裕信,1:55.6,1.1/4,21.0,7.0,460(+2),[東] 栗田徹,202406010208
7,3,5,フリッパー,牡4,57.0,ルメール,1:55.7,クビ,4.5,3.0,506(+10),[東] 戸田博文,202406010208
8,6,11,ジャクソン,牡4,57.0,木幡初也,1:55.7,クビ,21.9,8.0,502(+6),[東] 武市康男,202406010208
9,5,9,トゥルース,牡4,57.0,斎藤新,1:55.9,1.1/2,57.6,13.0,500(+2),[東] 斎藤誠,202406010208
10,3,6,ベルウッドグラス,牡4,57.0,木幡巧也,1:56.4,2.1/2,4.3,2.0,484(+6),[東] 牧光二,202406010208
11,7,14,ジョーカーブラウン,牡5,58.0,原田和真,1:56.7,1.3/4,91.8,14.0,530(+12),[東] 松山将樹,202406010208
12,1,2,ジャックパール,牡4,54.0,小林勝太,1:57.3,3.1/2,26.0,9.0,462(+12),[東] 鈴木慎太,202406010208
13,4,7,ルージュアマルフィ,牝4,55.0,菅原明良,1:57.9,3.1/2,50.8,11.0,480(0),[東] 鹿戸雄一,202406010208
14,2,4,リゼレインボー,牡5,58.0,大野拓弥,1:58.6,4,162.4,15.0,488(-2),[東] 松山将樹,202406010208
15,6,12,チャコワールド,牡5,58.0,丸山元気,1:59.0,2.1/2,641.7,16.0,446(-2),[東] 根本康広,202406010208
16,7,13,ブレードキング,牡4,57.0,西村淳也,1:59.2,1.1/4,26.2,10.0,536(+6),[東] 岩戸孝樹,202406010208
1,4,8,ダイバリオン,牡5,58.0,ルメール,2:00.0,,5.2,2.0,468(0),[東] 池上昌和,202406010209
2,3,6,ヤマニンエンディマ,牡4,57.0,横山武史,2:00.1,3/4,6.7,4.0,500(0),[東] 辻哲英,202406010209
3,4,7,エルディアブロ,牡6,58.0,西村淳也,2:00.3,1.1/4,28.2,9.0,450(0),[西] 佐々木晶,202406010209
4,7,14,シテフローラル,牡6,58.0,キング,2:00.3,アタマ,16.2,7.0,462(+6),[東] 堀宣行,202406010209
5,2,4,セナリスト,牝6,56.0,キングス,2:00.4,クビ,61.9,11.0,466(+16),[東] 金成貴史,202406010209
6,5,10,ボーンイングランデ,牡4,57.0,石川裕紀,2:00.4,クビ,73.9,13.0,466(0),[西] 吉田直弘,202406010209
7,1,1,ソワドリヨン,牝4,55.0,北村宏司,2:00.4,アタマ,9.6,5.0,466(0),[東] 古賀慎明,202406010209
8,1,2,パトリックハンサム,牡5,58.0,横山和生,2:00.5,クビ,42.0,10.0,474(+8),[東] 菊沢隆徳,202406010209
9,8,16,マイネルニコラス,牡5,58.0,柴田大知,2:00.5,ハナ,14.3,6.0,520(+2),[東] 高橋裕,202406010209
10,6,12,エイトキングゴッド,牡4,57.0,原優介,2:00.5,ハナ,105.4,14.0,480(+6),[東] 青木孝文,202406010209
11,3,5,グランドライン,牡5,58.0,大野拓弥,2:00.7,1.1/4,6.3,3.0,552(+2),[東] 高木登,202406010209
11,6,11,インナリオ,牝6,56.0,杉原誠人,2:00.7,同着,128.2,15.0,458(-24),[東] 嘉藤貴行,202406010209
13,8,17,ニシノファンフェア,牡4,57.0,田辺裕信,2:00.7,クビ,134.1,16.0,476(-2),[東] 和田勇介,202406010209
14,5,9,エトワールマタン,牝6,56.0,菅原明良,2:00.8,3/4,23.3,8.0,458(-4),[東] 高柳瑞樹,202406010209
15,8,15,コスモフロイデ,牡5,58.0,ピーヒュ,2:00.9,クビ,181.6,17.0,486(+14),[東] 天間昭一,202406010209
16,2,3,クレバーテースト,セ5,58.0,坂井瑠星,2:01.1,1.1/4,2.9,1.0,456(-2),[西] 武幸四郎,202406010209
17,7,13,マイネルビジョン,牡4,57.0,丹内祐次,2:01.3,1,63.9,12.0,466(-2),[東] 高木登,202406010209
1,7,14,ヴァルツァーシャル,牡5,57.0,大野拓弥,1:52.9,,5.9,4.0,504(+4),[東] 高木登,202406010210
2,2,3,キタノリューオー,牡6,58.0,原優介,1:53.1,1.1/4,13.2,6.0,476(+4),[東] 萱野浩二,202406010210
3,4,7,アルーブルト,牡6,57.0,田辺裕信,1:53.2,1/2,77.2,12.0,498(+16),[西] 畑端省吾,202406010210
4,4,8,キングストンボーイ,セ6,57.0,キングス,1:53.2,クビ,50.8,11.0,502(+10),[東] 鹿戸雄一,202406010210
5,7,13,テーオードレフォン,牡5,57.0,三浦皇成,1:53.3,1/2,22.5,10.0,498(+6),[西] 梅田智之,202406010210
6,5,10,ペイシャエス,牡5,60.0,菅原明良,1:53.4,アタマ,12.7,5.0,498(+8),[東] 小西一男,202406010210
7,6,11,ウェルカムニュース,牡5,58.0,北村友一,1:53.4,ハナ,5.7,3.0,510(+8),[西] 池江泰寿,202406010210
8,5,9,ナチュラルハイ,牡4,56.0,坂井瑠星,1:53.5,3/4,14.9,7.0,480(+6),[東] 黒岩陽一,202406010210
9,3,6,エナハツホ,牝5,55.0,石川裕紀,1:53.6,クビ,83.4,13.0,454(0),[西] 吉田直弘,202406010210
10,1,1,ブラックアーメット,牡6,58.0,泉谷楓真,1:53.8,1.1/2,16.2,8.0,510(+4),[西] 角田晃一,202406010210
11,1,2,フォルコメン,セ8,58.0,キング,1:54.0,1,202.9,15.0,516(+2),[東] 堀宣行,202406010210
12,3,5,アナンシエーション,セ6,57.0,ルメール,1:54.0,クビ,4.3,2.0,508(0),[東] 手塚貴久,202406010210
13,6,12,パワーブローキング,牡5,57.0,ピーヒュ,1:54.4,2,98.9,14.0,524(-6),[東] 栗田徹,202406010210
14,8,15,ベストリーガード,牡5,57.0,木幡巧也,1:55.1,4,4.3,1.0,484(+2),[東] 牧光二,202406010210
15,2,4,ノースザワールド,牡6,57.0,横山和生,1:55.7,3.1/2,17.6,9.0,474(+4),[西] 大久保龍,202406010210
16,8,16,アルドーレ,牡9,59.0,吉田豊,2:08.6,大,249.8,16.0,508(+20),[東] 戸田博文,202406010210
1,8,13,イフェイオン,牝3,55.0,西村淳也,1:34.0,,12.6,5.0,480(-4),[西] 杉山佳明,202406010211
2,3,3,マスクオールウィン,牝3,55.0,津村明秀,1:34.0,クビ,14.0,6.0,492(+6),[東] 牧光二,202406010211
3,1,1,ラヴスコール,牝3,55.0,横山武史,1:34.1,クビ,10.6,4.0,422(+2),[東] 加藤征弘,202406010211
4,4,6,スティールブルー,牝3,55.0,ルメール,1:34.1,クビ,2.4,1.0,430(-2),[東] 宗像義忠,202406010211
5,8,14,ニシノティアモ,牝3,55.0,田辺裕信,1:34.3,1.1/4,43.3,10.0,434(+2),[東] 上原佑紀,202406010211
6,6,9,キャットファイト,牝3,55.0,坂井瑠星,1:34.3,アタマ,3.7,2.0,446(+4),[東] 上原博之,202406010211
7,7,11,テリオスサラ,牝3,55.0,石橋脩,1:34.4,クビ,6.6,3.0,474(0),[東] 高柳瑞樹,202406010211
8,4,5,ティンク,牝3,55.0,佐々木大,1:34.4,クビ,50.3,11.0,488(-4),[東] 久保田貴,202406010211
9,6,10,キャプテンネキ,牝3,55.0,ピーヒュ,1:34.4,クビ,52.9,12.0,530(+2),[西] 杉山晴紀,202406010211
10,3,4,メイショウヨゾラ,牝3,55.0,三浦皇成,1:34.4,アタマ,20.4,7.0,468(-12),[東] 高柳瑞樹,202406010211
11,5,8,カレンナオトメ,牝3,55.0,菅原明良,1:34.6,3/4,99.8,13.0,418(+6),[東] 小野次郎,202406010211
12,7,12,ジークルーネ,牝3,55.0,キングス,1:35.4,5,39.1,8.0,454(+2),[東] 栗田徹,202406010211
13,2,2,エリカリーシャン,牝3,55.0,横山和生,1:35.5,1/2,42.4,9.0,476(+6),[東] 国枝栄,202406010211
14,5,7,メジャーデビュー,牝3,55.0,丹内祐次,1:35.9,2.1/2,220.1,14.0,424(-10),[東] 鈴木慎太,202406010211
1,7,13,フラップシグナス,牡5,58.0,ルメール,1:11.2,,1.8,1.0,486(-10),[西] 千田輝彦,202406010212
2,8,16,パルデンス,牡6,57.0,佐々木大,1:11.3,クビ,23.9,8.0,502(+12),[東] 中野栄治,202406010212
3,4,8,エイシンケプラー,牡4,58.0,津村明秀,1:11.7,2.1/2,8.7,3.0,492(+4),[東] 田中剛,202406010212
4,3,6,ドンレパルス,牡5,58.0,菅原明良,1:11.8,クビ,32.3,11.0,518(+6),[東] 高木登,202406010212
5,4,7,アポロプラネット,牡5,55.0,小林勝太,1:11.8,クビ,53.9,12.0,498(-6),[東] 伊藤圭三,202406010212
6,7,14,キングクー,牡5,56.0,藤田菜七,1:11.9,クビ,30.7,10.0,522(-6),[東] 根本康広,202406010212
7,3,5,バルミュゼット,牡5,58.0,木幡巧也,1:12.2,2,12.0,5.0,528(+4),[東] 岩戸孝樹,202406010212
8,6,11,ダークンストーミー,牡4,58.0,田辺裕信,1:12.3,1/2,22.0,7.0,444(-2),[東] 小笠倫弘,202406010212
9,2,4,トモジャミ,牝4,56.0,横山武史,1:12.4,1/2,6.6,2.0,504(-4),[東] 鈴木伸尋,202406010212
10,5,9,ビップアクア,牝5,56.0,北村友一,1:12.7,1.1/2,235.5,15.0,454(+2),[東] 田島俊明,202406010212
11,2,3,ヴァンヌ,牡6,58.0,武藤雅,1:12.9,1.1/4,158.6,14.0,532(+16),[東] 武藤善則,202406010212
12,6,12,ナイトアクアリウム,牡4,58.0,石橋脩,1:13.2,2,11.6,4.0,480(-6),[西] 杉山佳明,202406010212
13,8,15,スカイナイル,牝6,56.0,西村淳也,1:13.5,2,29.4,9.0,492(-8),[西] 牧浦充徳,202406010212
