着 順,枠 番,馬 番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人 気,馬体重,調教師,race_id
16,8,16,ケンタッキーダンス,牝2,52.0,鷲頭虎太,2:00.3,9,201.3,12.0,410(+6),[西] 羽月友彦,202308020102
1,2,2,エルフストラック,牝2,55.0,岩田望来,2:02.3,,2.2,1.0,462(-4),[西] 中村直也,202308020103
2,3,3,ヘザルフェン,牡2,56.0,横山典弘,2:02.3,クビ,3.1,2.0,494(0),[西] 昆貢,202308020103
3,1,1,ショウナンハウル,牡2,56.0,西村淳也,2:02.5,3/4,3.9,3.0,500(+4),[西] 松下武士,202308020103
4,4,4,モスコビウム,牡2,56.0,和田竜二,2:02.8,2,65.6,6.0,434(0),[西] 浜田多実,202308020103
5,6,6,チョウゲンキ,牡2,56.0,松若風馬,2:03.2,2.1/2,25.6,5.0,432(+2),[西] 羽月友彦,202308020103
6,5,5,アマゾネス,牝2,55.0,幸英明,2:03.7,3,7.9,4.0,444(-4),[西] 渡辺薫彦,202308020103
1,8,10,ファジュル,セ4,60.0,小野寺祐,3:20.6,,2.4,1.0,454(-6),[西] 藤沢則雄,202308020104
2,2,2,ブリエヴェール,牡5,60.0,石神深一,3:21.9,8,5.0,2.0,446(-8),[東] 小笠倫弘,202308020104
3,7,8,アズマサクラエモン,牡3,58.0,難波剛健,3:22.4,3,42.8,8.0,506(-4),[西] 加用正,202308020104
4,5,5,クリノクオン,牡3,58.0,上野翔,3:22.7,2,42.9,9.0,452(0),[東] 伊藤伸一,202308020104
5,6,6,スペキュレーター,牡4,60.0,草野太郎,3:23.2,3,22.4,7.0,484(0),[東] 伊藤伸一,202308020104
6,7,9,クリノキララ,牝5,58.0,田村太雅,3:27.1,大,63.5,10.0,466(+10),[西] 畑端省吾,202308020104
7,8,11,ダノンクロム,牡3,58.0,小牧加矢,3:27.5,2.1/2,7.0,4.0,512(+6),[西] 音無秀孝,202308020104
8,4,4,ミキノプリンス,牡4,60.0,中村将之,3:28.3,5,8.3,6.0,496(+4),[西] 大橋勇樹,202308020104
9,6,7,キールロワイヤル,牡3,58.0,森一馬,3:28.4,3/4,6.8,3.0,478(+6),[西] 斉藤崇史,202308020104
10,1,1,テイエムフォンテ,牡4,60.0,黒岩悠,3:30.2,大,8.1,5.0,510(+16),[西] 飯田雄三,202308020104
除,3,3,ビネッサ,牡3,58.0,平沢健治,,,---,,458(+2),[西] 中竹和也,202308020104
1,4,7,プシプシーナ,牝2,52.0,永島まな,1:35.0,,7.9,4.0,410(0),[西] 小栗実,202308020105
2,8,18,シルヴァリームーン,牝2,55.0,武豊,1:35.1,3/4,3.7,1.0,514(0),[西] 渡辺薫彦,202308020105
3,5,9,イフェイオン,牝2,55.0,西村淳也,1:35.2,アタマ,12.7,6.0,482(0),[西] 杉山佳明,202308020105
4,1,2,コネッシオーネ,牝2,55.0,鮫島克駿,1:35.2,1/2,11.4,5.0,456(0),[西] 杉山晴紀,202308020105
5,3,6,インフルブルーム,牝2,55.0,坂井瑠星,1:35.3,クビ,26.3,9.0,440(0),[西] 矢作芳人,202308020105
6,8,17,フローラルセント,牝2,55.0,藤岡康太,1:35.4,1/2,88.1,15.0,458(0),[西] 松下武士,202308020105
7,1,1,ダークファンタジー,牝2,55.0,岩田望来,1:35.5,1/2,7.2,3.0,402(0),[西] 須貝尚介,202308020105
8,7,14,アンクローシュ,牝2,55.0,Ｍ．デム,1:35.6,1/2,22.8,8.0,408(0),[西] 安田翔伍,202308020105
9,4,8,ドーヴィル,牝2,55.0,松田大作,1:35.6,クビ,16.2,7.0,450(0),[西] 武英智,202308020105
10,2,4,ジョセフィーナ,牝2,55.0,松若風馬,1:35.7,1/2,35.3,12.0,410(0),[西] 今野貞一,202308020105
11,3,5,レドンホール,牝2,55.0,団野大成,1:35.9,1.1/4,32.7,11.0,456(0),[西] 斉藤崇史,202308020105
12,6,12,ノビル,牝2,55.0,和田竜二,1:36.1,1,78.5,14.0,446(0),[西] 鈴木孝志,202308020105
13,6,11,ルージュプレジール,牝2,55.0,浜中俊,1:36.6,3,5.3,2.0,458(0),[西] 田中克典,202308020105
14,7,13,カリナンラホーヤ,牝2,54.0,小沢大仁,1:37.2,3.1/2,128.5,17.0,430(0),[西] 松永昌博,202308020105
15,5,10,リオサラ,牝2,55.0,幸英明,1:37.3,クビ,26.7,10.0,472(0),[西] 牧浦充徳,202308020105
16,8,16,スマートヌーメン,牝2,55.0,富田暁,1:37.3,ハナ,77.1,13.0,466(0),[西] 石坂公一,202308020105
17,2,3,トウメイヨリキレイ,牝2,55.0,国分恭介,1:37.3,クビ,211.0,18.0,400(0),[西] 川村禎彦,202308020105
18,7,15,チアフルヴォイス,牝2,55.0,吉田隼人,1:37.6,1.3/4,123.7,16.0,456(0),[西] 坂口智康,202308020105
1,7,14,バスタードサフラン,牝2,55.0,藤岡康太,1:55.6,,16.0,6.0,464(0),[西] 渡辺薫彦,202308020106
2,4,8,ベルウェザー,牡2,56.0,武豊,1:55.7,1,2.0,1.0,488(0),[西] 茶木太樹,202308020106
3,8,15,ツリーフロッグ,牡2,56.0,国分優作,1:55.8,1/2,69.9,11.0,490(0),[西] 辻野泰之,202308020106
4,5,9,ペイシャコパ,牝2,55.0,吉田隼人,1:56.0,1,30.4,9.0,474(0),[西] 坂口智康,202308020106
5,4,7,リンゴ,牡2,56.0,幸英明,1:56.8,5,13.0,4.0,524(0),[西] 梅田智之,202308020106
6,3,6,ホワイトリバー,牡2,56.0,松田大作,1:58.0,7,114.2,15.0,450(0),[西] 武英智,202308020106
7,6,12,デルマプルシャ,牡2,56.0,松若風馬,1:58.2,1.1/4,24.9,8.0,474(0),[西] 宮本博,202308020106
8,1,1,ドナアフロディテ,牝2,55.0,鮫島克駿,1:58.3,アタマ,6.2,2.0,464(0),[西] 庄野靖志,202308020106
9,2,4,クリノアチーバー,牡2,56.0,富田暁,1:58.4,1/2,97.5,13.0,478(0),[西] 高橋義忠,202308020106
10,2,3,ビップライアン,牡2,56.0,古川吉洋,1:59.2,5,15.0,5.0,496(0),[西] 松下武士,202308020106
11,1,2,ベストオブキング,牡2,56.0,水口優也,1:59.7,3.1/2,190.5,16.0,480(0),[西] 藤沢則雄,202308020106
12,8,16,タイセイファルクス,牡2,56.0,川須栄彦,2:00.8,7,41.1,10.0,498(0),[西] 小林真也,202308020106
13,7,13,エイシンローテイト,牡2,53.0,永島まな,2:01.5,4,112.9,14.0,500(0),[西] 高橋康之,202308020106
14,5,10,ヒロイックバイオ,牡2,55.0,角田大河,2:01.9,2.1/2,22.9,7.0,504(0),[西] 今野貞一,202308020106
15,3,5,アドーネ,牡2,56.0,和田竜二,2:02.0,1/2,6.9,3.0,458(0),[西] 鈴木孝志,202308020106
16,6,11,ザハーフェル,牝2,51.0,河原田菜,2:04.6,大,80.8,12.0,464(0),[西] 宮本博,202308020106
1,8,15,カセノミオ,牝3,51.0,田口貫太,1:24.9,,4.8,2.0,528(+14),[西] 中尾秀正,202308020107
2,7,14,ルショコラ,牝4,56.0,和田竜二,1:25.4,2.1/2,16.9,8.0,484(+4),[西] 吉田直弘,202308020107
3,8,16,ライズンシャイン,牝5,56.0,国分優作,1:25.4,クビ,122.3,15.0,506(-2),[西] 岡田稲男,202308020107
4,2,3,ローズバルサム,牝3,54.0,坂井瑠星,1:25.5,1/2,2.6,1.0,440(-2),[西] 吉村圭司,202308020107
5,1,2,オースミリン,牝4,56.0,団野大成,1:25.7,1.1/4,15.5,7.0,464(-4),[西] 荒川義之,202308020107
6,4,8,ファイアネイド,牝3,54.0,横山典弘,1:25.7,クビ,4.8,3.0,470(0),[西] 安田翔伍,202308020107
7,2,4,ルクスレガート,牝4,53.0,永島まな,1:25.9,3/4,23.6,9.0,446(+2),[西] 松永昌博,202308020107
8,6,12,ゴットゴーゴー,牝5,56.0,富田暁,1:25.9,ハナ,64.8,12.0,484(+6),[西] 木原一良,202308020107
9,3,5,スナークメモリー,牝3,54.0,国分恭介,1:26.0,1/2,44.0,10.0,434(0),[西] 川村禎彦,202308020107
10,7,13,メイショウナナクサ,牝3,54.0,鮫島克駿,1:26.1,3/4,14.8,5.0,430(+6),[西] 笹田和秀,202308020107
11,6,11,マリブパイン,牝4,53.0,鷲頭虎太,1:26.5,2.1/2,99.2,13.0,518(+32),[西] 大根田裕,202308020107
12,5,9,サイモンオリーブ,牝3,54.0,幸英明,1:26.7,1.1/2,14.4,4.0,460(+4),[西] 梅田智之,202308020107
13,1,1,レインボーウェザー,牝3,51.0,今村聖奈,1:26.9,1.1/4,110.5,14.0,462(-2),[西] 今野貞一,202308020107
14,4,7,エトワールジェンヌ,牝4,56.0,岩田康誠,1:27.1,1,50.8,11.0,516(+4),[西] 清水久詞,202308020107
15,5,10,ヴァレンシアスノー,牝3,51.0,川端海翼,1:27.2,3/4,205.6,16.0,438(-2),[西] 宮本博,202308020107
16,3,6,ラリベラ,牝4,52.0,河原田菜,1:28.1,5,15.5,6.0,476(+4),[西] 安田隆行,202308020107
1,2,2,シュタールヴィント,牡3,56.0,坂井瑠星,1:47.0,,2.4,1.0,440(-2),[西] 矢作芳人,202308020108
2,1,1,アレンテージョ,牡3,56.0,西村淳也,1:47.0,1/2,9.0,5.0,474(+12),[西] 坂口智康,202308020108
3,4,4,ルソルティール,牝3,54.0,鮫島克駿,1:47.1,1/2,18.1,7.0,442(+8),[西] 清水久詞,202308020108
4,7,9,ゴートゥファースト,牡3,55.0,角田大河,1:47.2,1/2,13.8,6.0,490(+4),[西] 新谷功一,202308020108
5,6,7,コートパルフェ,牝4,55.0,小沢大仁,1:47.3,1/2,144.4,10.0,452(0),[西] 緒方努,202308020108
6,7,8,レオンバローズ,牡4,58.0,岩田望来,1:47.3,ハナ,3.7,2.0,474(+2),[西] 渡辺薫彦,202308020108
7,3,3,ベルシャンブル,牝3,54.0,藤岡佑介,1:47.3,クビ,6.8,3.0,460(0),[西] 中内田充,202308020108
8,6,6,トラストエムシー,牡3,53.0,田口貫太,1:47.3,ハナ,39.1,8.0,436(+4),[西] 北出成人,202308020108
9,5,5,スイープアワーズ,牡3,56.0,池添謙一,1:47.6,1.3/4,7.1,4.0,444(+10),[西] 友道康夫,202308020108
10,8,11,ファムスパーブ,牝4,56.0,斎藤新,1:48.1,3,220.8,11.0,454(0),[西] 小林真也,202308020108
11,8,10,メイショウヒメゴゼ,牝4,53.0,今村聖奈,1:48.3,1.1/2,87.6,9.0,468(-6),[西] 飯田祐史,202308020108
1,5,5,トゥードジボン,牡4,58.0,藤岡佑介,1:34.0,,5.2,3.0,488(+8),[西] 四位洋文,202308020109
2,7,9,ディオ,牡4,58.0,岩田望来,1:34.2,1.1/4,5.3,4.0,500(+8),[西] 辻野泰之,202308020109
3,2,2,エアミアーニ,セ5,58.0,西村淳也,1:34.2,アタマ,44.5,10.0,446(+14),[西] 笹田和秀,202308020109
4,4,4,ラケマーダ,牡3,56.0,Ｍ．デム,1:34.3,アタマ,3.7,1.0,502(+6),[西] 千田輝彦,202308020109
5,6,6,アイオブザストーム,牝3,54.0,団野大成,1:34.3,ハナ,20.0,8.0,472(+4),[西] 岡田稲男,202308020109
6,1,1,ムーンリットナイト,牡4,58.0,吉田隼人,1:34.4,3/4,40.0,9.0,494(-4),[西] 加用正,202308020109
7,6,7,ラファドゥラ,牝3,54.0,角田大河,1:34.6,1.1/4,6.8,5.0,480(+2),[東] 小島茂之,202308020109
8,3,3,ドットクルー,牡3,56.0,藤岡康太,1:34.7,1.1/4,15.8,6.0,468(+12),[西] 笹田和秀,202308020109
9,8,11,ララヴォルシエル,牡4,58.0,和田竜二,1:34.8,1/2,19.3,7.0,432(-12),[西] 辻野泰之,202308020109
10,7,8,プッシュオン,牡3,56.0,武豊,1:34.9,クビ,4.0,2.0,456(+18),[西] 西村真幸,202308020109
11,8,10,シベリアンタイガー,セ12,58.0,西塚洸二,1:35.8,5,262.8,11.0,478(+4),[東] 加藤和宏,202308020109
1,3,4,メイショウソラフネ,牡4,56.0,角田大河,1:20.2,,5.5,2.0,448(0),[西] 石橋守,202308020110
2,8,15,ドロップオブライト,牝4,55.0,小沢大仁,1:20.2,クビ,11.0,5.0,446(+2),[西] 松永昌博,202308020110
3,7,13,トーホウディアス,牡5,56.0,和田竜二,1:20.3,クビ,34.1,13.0,462(+4),[西] 小栗実,202308020110
4,7,12,アルトシュタット,牡4,57.0,Ｍ．デム,1:20.5,1.1/4,5.6,3.0,488(+18),[西] 安田翔伍,202308020110
5,1,1,ロワンディシー,牡5,56.0,池添謙一,1:20.6,1,13.3,7.0,454(+4),[西] 北出成人,202308020110
6,5,8,アンセーニュ,牝5,52.0,斎藤新,1:20.6,アタマ,66.6,14.0,438(+2),[西] 奥村豊,202308020110
7,6,10,ジュノー,セ5,55.0,川須栄彦,1:20.7,1/2,21.0,10.0,522(+4),[西] 音無秀孝,202308020110
8,2,3,トオヤリトセイト,牡7,55.0,松若風馬,1:20.8,クビ,21.8,11.0,486(-6),[西] 松下武士,202308020110
9,4,6,グランレイ,牡6,57.0,藤懸貴志,1:20.8,クビ,20.0,9.0,468(+4),[西] 池添学,202308020110
10,6,11,スコールユニバンス,牝4,53.0,西村淳也,1:20.9,クビ,17.7,8.0,462(+6),[西] 矢作芳人,202308020110
11,5,9,イティネラートル,牝3,53.0,岩田望来,1:21.1,1.1/4,4.7,1.0,420(+10),[西] 長谷川浩,202308020110
12,2,2,ショウナンアレス,牡5,57.0,坂井瑠星,1:21.1,ハナ,6.6,4.0,524(-6),[西] 新谷功一,202308020110
13,4,7,ラクスバラディー,牝4,54.0,幸英明,1:21.1,クビ,11.7,6.0,528(+12),[西] 清水久詞,202308020110
14,3,5,スリートップキズナ,牡5,55.0,武豊,1:21.2,3/4,33.3,12.0,456(-10),[東] 伊藤圭三,202308020110
15,8,14,ケイサンフリーゼ,牝5,51.0,酒井学,1:21.7,2.1/2,124.5,15.0,500(+16),[西] 畑端省吾,202308020110
1,2,3,サンライズアムール,牡4,57.0,池添謙一,1:10.9,,2.9,1.0,518(0),[西] 小林真也,202308020111
2,8,16,スマートフォルス,牡3,56.0,武豊,1:11.3,2.1/2,6.1,3.0,478(-10),[西] 吉村圭司,202308020111
3,3,6,ヴァガボンド,牡5,57.0,岩田望来,1:11.5,1.1/4,46.5,9.0,486(-4),[西] 清水久詞,202308020111
4,8,15,チェイスザドリーム,牝4,56.0,坂井瑠星,1:11.7,1.1/2,6.9,4.0,476(0),[西] 矢作芳人,202308020111
5,4,8,エリモグリッター,セ6,57.0,荻野極,1:11.7,ハナ,54.2,10.0,478(-4),[東] 中野栄治,202308020111
6,4,7,サトノテンペスト,牡5,57.0,和田竜二,1:11.8,1/2,7.6,5.0,512(+6),[西] 高橋亮,202308020111
7,1,1,タガノクリステル,牝4,56.0,浜中俊,1:11.8,ハナ,4.6,2.0,488(+4),[西] 長谷川浩,202308020111
8,5,9,メイショウミライ,牡8,57.0,国分恭介,1:11.9,クビ,124.3,15.0,498(-2),[西] 西園翔太,202308020111
9,5,10,リアンクール,牝5,55.0,斎藤新,1:11.9,クビ,84.7,12.0,498(+4),[西] 安田隆行,202308020111
10,6,12,アーバンイェーガー,牡9,57.0,吉田隼人,1:12.0,1/2,55.3,11.0,502(+2),[東] 高橋文雅,202308020111
11,7,14,カルネアサーダ,牝4,55.0,角田大和,1:12.1,クビ,16.6,6.0,456(-6),[西] 加用正,202308020111
12,1,2,ボイラーハウス,牡5,57.0,西村淳也,1:12.1,ハナ,19.9,7.0,496(-18),[東] 竹内正洋,202308020111
13,2,4,アッティーヴォ,牡9,57.0,秋山真一,1:12.2,1/2,113.2,14.0,458(+4),[西] 大根田裕,202308020111
14,3,5,スナークダヴィンチ,牡6,57.0,富田暁,1:12.3,1/2,22.2,8.0,494(-6),[西] 野中賢二,202308020111
15,7,13,ロイヤルパールス,牡8,58.0,中井裕二,1:12.4,1,162.0,16.0,530(+10),[西] 緒方努,202308020111
16,6,11,ビップウインク,牝6,55.0,岩田康誠,1:13.1,4,112.4,13.0,532(+8),[西] 清水久詞,202308020111
1,2,3,ドゥラリアル,牡3,56.0,西村淳也,1:52.4,,3.5,2.0,498(+4),[西] 上村洋行,202308020112
2,8,15,ワンダースティング,牡5,54.0,河原田菜,1:52.8,2.1/2,155.3,14.0,526(-2),[西] 渡辺薫彦,202308020112
3,8,14,オラヴェリタス,牡4,54.0,古川奈穂,1:53.0,1.1/4,58.3,12.0,500(0),[西] 寺島良,202308020112
4,5,8,インテンスフレイム,牡5,58.0,岩田望来,1:53.2,1.1/4,13.0,6.0,522(+2),[西] 千田輝彦,202308020112
5,7,13,エルゲルージ,牡4,58.0,武豊,1:53.2,ハナ,3.2,1.0,526(+2),[西] 石坂公一,202308020112
6,5,9,スマートカリス,牝3,54.0,坂井瑠星,1:53.3,クビ,15.2,7.0,462(+14),[西] 池江泰寿,202308020112
7,7,12,ツウカイリアル,牡3,56.0,幸英明,1:53.3,アタマ,9.2,4.0,496(+2),[西] 庄野靖志,202308020112
8,4,7,ハイラブハンター,牡5,58.0,和田翼,1:53.7,2,195.6,15.0,492(+6),[西] 谷潔,202308020112
9,3,5,ヴォードヴィル,牝3,54.0,団野大成,1:53.7,クビ,21.4,8.0,452(-2),[西] 中竹和也,202308020112
10,3,4,ダブルジョーク,牡3,56.0,横山典弘,1:54.0,2,12.6,5.0,564(-10),[西] 昆貢,202308020112
11,1,1,メイショウゲキリン,牡4,58.0,池添謙一,1:54.4,2.1/2,31.9,10.0,518(-10),[西] 笹田和秀,202308020112
12,6,10,ウインメイフラワー,牝4,55.0,泉谷楓真,1:54.6,3/4,99.6,13.0,488(+6),[西] 梅田智之,202308020112
13,2,2,サンライズジャスト,牡4,58.0,藤岡康太,1:54.9,2,6.9,3.0,544(+2),[西] 羽月友彦,202308020112
14,4,6,ニホンピロクリフ,牡5,55.0,田口貫太,1:55.7,5,38.8,11.0,472(-4),[西] 大橋勇樹,202308020112
15,6,11,リースタル,牝4,56.0,松若風馬,1:56.3,3.1/2,21.7,9.0,442(+4),[西] 森田直行,202308020112
1,7,9,クリスアーサー,牡2,52.0,河原田菜,1:09.1,,5.7,3.0,514(+6),[西] 渡辺薫彦,202308020201
2,6,7,ステイチューンド,牡2,56.0,和田竜二,1:09.4,2,26.6,9.0,450(+10),[西] 清水久詞,202308020201
3,2,2,ボビーニクビッタケ,牝2,55.0,藤岡康太,1:09.5,1,17.6,7.0,466(+16),[西] 宮徹,202308020201
4,5,6,ナムラビオラ,牝2,52.0,田口貫太,1:09.7,1.1/4,3.2,1.0,432(+6),[西] 大橋勇樹,202308020201
5,4,4,シームレス,牝2,55.0,鮫島克駿,1:09.7,クビ,15.4,6.0,426(-18),[西] 小林真也,202308020201
6,3,3,テンドウ,牡2,56.0,幸英明,1:09.8,1/2,18.5,8.0,476(0),[西] 杉山佳明,202308020201
7,8,12,エルプロフェッサー,牝2,52.0,永島まな,1:10.0,1.1/4,8.7,4.0,410(0),[西] 高橋康之,202308020201
8,7,10,キモンキャリントン,牡2,53.0,今村聖奈,1:10.1,クビ,72.6,11.0,424(+2),[西] 渡辺薫彦,202308020201
9,5,5,プロミシングスター,牡2,56.0,国分恭介,1:10.1,クビ,14.0,5.0,438(+4),[西] 加用正,202308020201
10,1,1,ミッキージャスミン,牝2,55.0,松山弘平,1:10.2,1/2,3.6,2.0,454(+10),[西] 音無秀孝,202308020201
11,6,8,アオイエクラタン,牝2,51.0,古川奈穂,1:10.5,2,244.9,12.0,404(+4),[西] 高橋康之,202308020201
12,8,11,ウェディングケーキ,牝2,55.0,水口優也,1:10.8,1.3/4,59.7,10.0,438(+2),[西] 羽月友彦,202308020201
1,7,10,スウィープフィート,牝2,52.0,永島まな,1:34.8,,17.6,6.0,464(+10),[西] 庄野靖志,202308020202
2,4,4,ウインディオーネ,牝2,55.0,松山弘平,1:34.9,3/4,4.2,2.0,462(+14),[西] 長谷川浩,202308020202
3,8,11,ラガークイン,牝2,52.0,大久保友,1:35.1,1.1/2,9.3,5.0,402(+6),[西] 大久保龍,202308020202
4,5,6,エヴァンスウィート,牝2,55.0,坂井瑠星,1:35.1,アタマ,5.7,3.0,422(-10),[西] 友道康夫,202308020202
5,6,8,エマロア,牝2,55.0,和田竜二,1:35.2,クビ,2.5,1.0,480(-8),[西] 平田修,202308020202
6,1,1,ミヤジテン,牝2,55.0,富田暁,1:35.2,ハナ,102.3,11.0,476(+6),[西] 川村禎彦,202308020202
7,6,7,カンティーク,牝2,55.0,幸英明,1:35.5,2,40.3,8.0,428(+4),[西] 高橋亮,202308020202
8,5,5,ギルティプレジャー,牝2,55.0,岩田望来,1:35.5,ハナ,33.7,7.0,450(+2),[西] 寺島良,202308020202
9,2,2,ニエキヤ,牝2,55.0,鮫島克駿,1:35.7,1,7.5,4.0,416(+6),[西] 清水久詞,202308020202
10,7,9,ファミリー,牝2,51.0,河原田菜,1:36.0,2,99.4,10.0,436(+18),[西] 渡辺薫彦,202308020202
11,8,12,サトノアイオライト,牝2,55.0,武豊,1:36.5,3,58.1,9.0,460(+14),[西] 吉村圭司,202308020202
12,3,3,シルバヴール,牝2,55.0,藤懸貴志,1:39.5,大,155.1,12.0,388(+12),[西] 高橋義忠,202308020202
1,6,11,タガノミスト,牝2,55.0,富田暁,1:25.9,,5.4,3.0,454(0),[西] 川村禎彦,202308020203
2,5,9,キャピタルサックス,牡2,56.0,松山弘平,1:26.1,1,7.4,4.0,500(0),[西] 杉山晴紀,202308020203
3,8,16,ルクスアドラー,牡2,56.0,坂井瑠星,1:27.0,5,9.1,5.0,450(0),[西] 須貝尚介,202308020203
4,2,4,レッドリベルタ,牡2,56.0,浜中俊,1:27.3,2,19.9,6.0,446(0),[西] 庄野靖志,202308020203
5,2,3,ジーティースピカ,牝2,55.0,岩田望来,1:27.7,2.1/2,3.0,1.0,476(0),[西] 上村洋行,202308020203
6,4,8,タマモプルメリア,牝2,52.0,田口貫太,1:28.2,2.1/2,73.5,12.0,448(0),[西] 大橋勇樹,202308020203
7,1,1,トッピゴー,牡2,56.0,武豊,1:28.5,2,4.7,2.0,524(0),[西] 角田晃一,202308020203
8,5,10,ショウナンラジョア,牝2,55.0,幸英明,1:28.7,1,39.3,9.0,472(0),[西] 梅田智之,202308020203
9,8,15,キュールエカシス,牝2,52.0,今村聖奈,1:29.1,2.1/2,34.7,8.0,438(0),[西] 中尾秀正,202308020203
10,3,5,ブラーヴミノル,牡2,56.0,酒井学,1:29.3,1.1/4,49.5,10.0,550(0),[西] 本田優,202308020203
11,3,6,メイショウイチリン,牝2,51.0,河原田菜,1:29.7,2.1/2,123.9,14.0,424(0),[西] 荒川義之,202308020203
12,7,13,パルマノーヴァ,牝2,55.0,和田竜二,1:29.8,1/2,198.4,15.0,438(0),[西] 牧田和弥,202308020203
13,6,12,ドレアンティア,牝2,54.0,角田大和,1:30.8,6,22.3,7.0,462(0),[西] 飯田祐史,202308020203
14,7,14,レッツゴーヒカリ,牡2,56.0,城戸義政,1:31.4,3.1/2,267.9,16.0,430(0),[西] 鈴木孝志,202308020203
15,1,2,エナジーフォルテ,牝2,52.0,永島まな,1:31.6,1,61.9,11.0,448(0),[西] 高柳大輔,202308020203
16,4,7,テキーラワルツ,牝2,55.0,国分優作,1:32.1,3,80.1,13.0,442(0),[西] 大根田裕,202308020203
1,4,4,ロックユー,セ5,60.0,西谷誠,3:33.4,,5.7,2.0,458(+12),[西] 中内田充,202308020204
2,6,7,フィロロッソ,牡6,60.0,平沢健治,3:34.7,8,1.4,1.0,514(+12),[西] 中竹和也,202308020204
3,7,8,メイショウハチク,セ9,60.0,中村将之,3:35.0,2,21.4,6.0,478(+14),[西] 安達昭夫,202308020204
4,6,6,ワンダークローバー,牡5,60.0,難波剛健,3:35.1,クビ,75.3,10.0,474(+8),[西] 森田直行,202308020204
5,2,2,アトラクティーボ,牡4,60.0,石神深一,3:35.1,クビ,11.4,3.0,530(-4),[東] 武藤善則,202308020204
6,1,1,プラチナドリーム,牡4,60.0,黒岩悠,3:35.7,3.1/2,19.0,5.0,472(+2),[西] 平田修,202308020204
7,8,10,ヤップヤップヤップ,牡7,60.0,江田勇亮,3:35.9,1.1/4,17.6,4.0,456(+4),[東] 宗像義忠,202308020204
8,3,3,シングンジョーイ,牡5,60.0,上野翔,3:36.0,1/2,118.5,11.0,452(-6),[東] 伊坂重信,202308020204
9,5,5,サンティーニ,セ8,61.0,五十嵐雄,3:38.4,大,29.8,9.0,488(-8),[東] 尾関知人,202308020204
中,7,9,テイエムマグマ,牡5,60.0,森一馬,,,22.9,7.0,510(+2),[西] 杉山晴紀,202308020204
中,8,11,ハンディーズピーク,牡5,60.0,小牧加矢,,,23.6,8.0,524(+12),[西] 大久保龍,202308020204
1,3,3,ジャンタルマンタル,牡2,56.0,鮫島克駿,1:47.4,,5.2,2.0,496(0),[西] 高野友和,202308020205
2,5,6,キープカルム,牡2,56.0,岩田望来,1:47.8,2.1/2,14.3,6.0,492(0),[西] 中竹和也,202308020205
3,8,12,タクシンイメル,牝2,55.0,藤岡佑介,1:48.1,1.3/4,6.1,4.0,452(0),[西] 武英智,202308020205
4,1,1,ホウオウドルーリー,牝2,55.0,藤岡康太,1:48.4,2,3.1,1.0,454(0),[西] 宮徹,202308020205
5,7,10,モズイージス,牡2,56.0,岩田康誠,1:48.5,クビ,20.8,8.0,446(0),[西] 松下武士,202308020205
6,5,5,クロドラバール,牡2,56.0,和田竜二,1:48.6,3/4,16.7,7.0,514(0),[西] 杉山晴紀,202308020205
7,8,11,ヒシグランディヴァ,牝2,55.0,松山弘平,1:48.9,1.3/4,6.0,3.0,454(0),[西] 友道康夫,202308020205
8,4,4,セングンバンバ,牡2,56.0,武豊,1:48.9,アタマ,7.4,5.0,446(0),[西] 松永幹夫,202308020205
9,6,7,ウインドスピード,牡2,56.0,団野大成,1:49.3,2.1/2,55.1,9.0,442(0),[西] 坂口智康,202308020205
10,7,9,ラブカムーン,牝2,55.0,幸英明,1:49.7,2.1/2,87.8,10.0,474(0),[西] 千田輝彦,202308020205
11,2,2,ジェットラン,牝2,51.0,河原田菜,1:49.7,クビ,104.3,11.0,426(0),[西] 浜田多実,202308020205
12,6,8,ハッピーワンダー,牝2,55.0,水口優也,1:50.5,5,151.1,12.0,456(0),[西] 藤沢則雄,202308020205
1,5,10,エミサキホコル,牡3,56.0,松山弘平,1:24.3,,3.9,2.0,484(+8),[西] 杉山佳明,202308020206
2,8,15,エメラルドビーチ,牡3,56.0,岩田望来,1:24.4,クビ,2.0,1.0,534(+12),[西] 大久保龍,202308020206
3,2,3,メリタテス,牝3,50.0,古川奈穂,1:25.0,4,7.5,4.0,436(+2),[西] 矢作芳人,202308020206
4,3,5,ペプチドハドソン,牡3,56.0,松田大作,1:25.2,3/4,25.0,7.0,482(+10),[西] 武英智,202308020206
5,5,9,ダノンアーリー,牡4,58.0,北村友一,1:25.5,1.3/4,19.6,6.0,474(+4),[西] 安田隆行,202308020206
6,6,11,シンエン,牡4,58.0,荻野極,1:25.6,1,72.9,9.0,490(+2),[西] 松下武士,202308020206
7,4,8,ハヤブサウィッシュ,牡4,58.0,川又賢治,1:25.7,3/4,144.5,13.0,468(+8),[西] 吉村圭司,202308020206
8,4,7,アコルダール,牝5,56.0,団野大成,1:25.8,クビ,17.1,5.0,458(+2),[西] 西園翔太,202308020206
9,3,6,スズノハマヤ,牡3,56.0,鮫島克駿,1:25.9,1,63.5,8.0,466(0),[西] 石坂公一,202308020206
10,2,4,キングダイヤモンド,牡3,53.0,田口貫太,1:26.0,アタマ,87.9,10.0,506(+6),[西] 大橋勇樹,202308020206
11,1,2,タイセイアーメット,牡5,58.0,古川吉洋,1:26.1,3/4,186.9,16.0,480(-6),[西] 浜田多実,202308020206
